tag,maxh,status,n_solids,n_faces,linear_nodes,tets,gen_time_s
attempt4_star,1.8,ok,1,50,29105,94591,5.32
attempt50_hull,3.0,ok,1,38,9586,28035,1.55
attempt50_hull,2.0,ok,1,38,23792,77688,4.3
attempt50_hull,1.8,ok,1,38,29096,94733,7.98
attempt50_star,3.0,ok,1,42,9755,28528,1.58
attempt50_star,2.0,ok,1,42,23828,77773,4.54
attempt50_star,1.8,ok,1,42,29215,95025,5.33
attempt51_hull,3.0,ok,1,38,9693,28212,1.58
attempt51_hull,2.0,ok,1,38,23681,77061,4.23
attempt51_hull,1.8,ok,1,38,29004,94106,5.21
attempt51_star,3.0,ok,1,46,9603,27871,1.56
attempt51_star,2.0,ok,1,46,23582,76726,4.33
attempt51_star,1.8,ok,1,46,28960,93775,8.11
attempt52_hull,3.0,ok,1,38,9574,27986,1.55
attempt52_hull,2.0,ok,1,38,23514,76894,4.32
attempt52_hull,1.8,ok,1,38,28953,94166,5.47
attempt52_star,3.0,ok,1,50,9751,28399,1.61
attempt52_star,2.0,ok,1,50,23618,77048,4.33
attempt52_star,1.8,ok,1,50,29026,94250,5.32
attempt53_hull,3.0,ok,1,42,9676,28309,1.6
attempt53_hull,2.0,ok,1,42,23904,78083,4.44
attempt53_hull,1.8,ok,1,42,28946,94202,8.11
attempt53_star,3.0,ok,1,54,9655,28081,1.6
attempt53_star,2.0,ok,1,54,23939,77848,4.5
attempt53_star,1.8,ok,1,54,29043,94234,5.39
attempt54_hull,3.0,ok,1,42,9462,27699,1.55
attempt54_hull,2.0,ok,1,42,23443,76747,4.46
attempt54_hull,1.8,ok,1,42,28694,93480,5.22
attempt54_star,3.0,ok,1,58,9614,27984,1.67
attempt54_star,2.0,ok,1,58,23726,77273,7.25
attempt54_star,1.8,ok,1,58,28854,93667,5.37
attempt56_star,3.0,ok,1,66,9633,27981,1.63
attempt56_star,2.0,ok,1,66,23651,77032,4.44
attempt56_star,1.8,ok,1,66,28779,93402,5.39
attempt57_hull,3.0,ok,1,34,9659,28202,1.6
attempt57_hull,2.0,ok,1,34,23854,77943,4.43
attempt57_hull,1.8,ok,1,34,29290,95132,5.4
attempt57_star,3.0,ok,1,38,9810,28635,1.63
attempt57_star,2.0,ok,1,38,23843,77795,7.21
attempt57_star,1.8,ok,1,38,29160,94712,5.42
attempt58_hull,3.0,ok,1,42,9593,28075,1.63
attempt58_hull,2.0,ok,1,42,23577,77182,4.32
attempt58_hull,1.8,ok,1,42,28939,94129,5.29
attempt59_hull,3.0,ok,1,34,9655,28200,1.54
attempt59_hull,2.0,ok,1,34,23829,77740,4.41
